,0,1,2,3,4,5,6,7,8,9
96,M.Hasselbeck,QB,84,2010,-24.8%,26.4,-468,3029,17,17
97,M.Cassel,QB,83,2010,-29.3%,30.9,-619,2924,16,16
98,M.Stafford,QB,79,2010,-36.6%,30.0,-653,2267,13,20
99,J.Russell,QB,72,2010,-62.0%,11.7,-834,1290,3,11
100,T.Brady,QB,95,2011,46.7%,76.9,"1,918",3900,36,4
101,P.Rivers,QB,94,2011,27.9%,63.4,"1,430",4710,30,13
102,P.Manning,QB,99,2011,19.0%,69.0,"1,400",4700,33,17
103,A.Rodgers,QB,94,2011,26.9%,69.4,"1,288",3922,28,11
104,M.Ryan,QB,86,2011,18.0%,69.7,"1,120",3705,28,9
105,D.Brees,QB,99,2011,13.3%,65.4,"1,093",4634,33,22
106,B.Roethlisberger,QB,88,2011,31.1%,64.2,"1,061",3200,17,5
107,M.Schaub,QB,89,2011,12.2%,57.9,930,4369,24,12
108,J.Freeman,QB,77,2011,13.9%,64.6,816,3451,25,6
109,C.Palmer,QB,87,2011,7.1%,43.5,739,3985,26,20
110,J.Flacco,QB,87,2011,9.4%,60.4,695,3622,25,10
111,M.Vick,QB,73,2011,14.1%,68.2,663,3018,21,6
112,K.Orton,QB,80,2011,8.3%,48.0,663,3652,20,9
113,M.Cassel,QB,78,2011,8.4%,52.3,589,3116,27,7
114,E.Manning,QB,89,2011,4.2%,65.5,547,4002,31,25
115,C.Henne,QB,79,2011,1.0%,42.5,402,3298,15,18
116,V.Young,QB,79,2011,20.5%,70.6,353,1255,10,3
117,T.Romo,QB,90,2011,13.3%,56.4,334,1596,11,7
118,M.Sanchez,QB,82,2011,-4.3%,48.2,234,3291,17,13
119,D.Garrard,QB,79,2011,-1.8%,60.3,227,2734,23,15
120,K.Collins,QB,72,2011,-3.2%,58.7,150,1823,14,8
121,C.McCoy,QB,71,2011,-1.9%,45.1,146,1565,6,9
122,D.McNabb,QB,89,2011,-6.9%,38.9,133,3377,14,15
123,M.Stafford,QB,80,2011,3.0%,58.1,91,535,6,1
124,J.Cutler,QB,83,2011,-8.5%,48.5,81,3274,23,16
125,J.Campbell,QB,83,2011,-10.1%,48.5,23,2399,13,8
126,K.Kolb,QB,75,2011,-10.2%,35.7,12,1197,7,7
127,A.Smith,QB,77,2011,-12.2%,40.9,-26,,,
128,C.Whitehurst,QB,71,2011,-33.2%,23.0,-141,507,2,3
129,M.Hasselbeck,QB,79,2011,-16.8%,40.4,-173,2998,12,17
130,S.Bradford,QB,80,2011,-15.6%,41.5,-178,3512,18,15
131,B.Favre,QB,92,2011,-23.1%,25.4,-291,2509,11,19
132,J.Delhomme,QB,74,2011,-42.7%,26.5,-313,887,2,7
133,M.Moore,QB,76,2011,-42.8%,25.0,-324,857,5,10
134,J.Clausen,QB,74,2011,-48.0%,11.8,-749,1558,3,9
135,D.Brees,QB,96,2012,38.3%,84.0,"2,259",5535,46,14
136,A.Rodgers,QB,98,2012,46.6%,86.2,"2,059",4637,45,6
137,T.Brady,QB,99,2012,35.4%,72.7,"1,997",5239,39,12
138,T.Romo,QB,88,2012,26.8%,71.4,"1,344",4184,31,10
139,M.Stafford,QB,80,2012,14.9%,65.5,"1,170",5047,41,16
140,M.Ryan,QB,90,2012,18.7%,69.0,"1,118",4177,29,12
141,P.Rivers,QB,96,2012,17.0%,62.7,"1,118",4624,27,20
142,E.Manning,QB,87,2012,16.2%,59.4,"1,109",4910,29,16
143,B.Roethlisberger,QB,94,2012,13.3%,63.6,867,4077,21,14
144,M.Schaub,QB,88,2012,24.4%,67.4,701,2479,15,6
145,M.Vick,QB,93,2012,11.6%,64.4,652,3303,18,14
146,A.Dalton,QB,71,2012,5.6%,45.6,575,3398,20,13
147,A.Smith,QB,75,2012,3.1%,46.1,442,,,
148,J.Flacco,QB,88,2012,0.0%,59.6,409,3610,20,12
149,C.Newton,QB,77,2012,0.8%,55.0,404,4051,21,17
150,J.Campbell,QB,81,2012,19.8%,54.3,340,1170,6,4
151,R.Fitzpatrick,QB,81,2012,-6.2%,50.5,189,3832,24,23
152,J.Cutler,QB,85,2012,-3.5%,59.7,157,2319,13,7
153,C.Henne,QB,77,2012,-2.7%,63.4,67,868,4,4
154,M.Sanchez,QB,83,2012,-12.5%,33.6,-53,3474,26,18
155,J.Freeman,QB,87,2012,-13.7%,45.3,-96,3590,16,22
156,C.McCoy,QB,77,2012,-15.2%,40.0,-133,2733,14,11
157,T.Tebow,QB,77,2012,-22.7%,29.4,-221,1729,12,7
158,M.Cassel,QB,86,2012,-25.9%,50.7,-277,1713,10,9
159,S.Bradford,QB,85,2012,-24.2%,28.6,-329,2157,6,6
160,C.Ponder,QB,73,2012,-31.5%,33.7,-404,1853,13,13
161,B.Gabbert,QB,75,2012,-46.5%,20.6,"-1,009",2214,12,11
162,T.Brady,QB,98,2013,35.1%,77.1,"2,035",4799,34,8
163,P.Manning,QB,93,2013,32.8%,84.1,"1,805",4667,37,11
164,D.Brees,QB,98,2013,19.8%,67.9,"1,441",5177,43,19
165,A.Rodgers,QB,99,2013,23.4%,72.5,"1,395",4303,39,8
166,M.Ryan,QB,89,2013,16.5%,74.5,"1,196",4719,32,14
167,M.Stafford,QB,91,2013,12.2%,58.9,"1,160",4965,20,17
168,T.Romo,QB,90,2013,14.8%,62.7,"1,156",4903,28,19
169,R.Wilson,QB,70,2013,19.7%,69.6,872,3111,26,10
170,B.Roethlisberger,QB,95,2013,13.2%,62.8,761,3252,25,8
171,E.Manning,QB,97,2013,9.0%,67.4,753,3948,26,15
172,R.Griffin,QB,83,2013,16.6%,71.4,727,3211,20,5
173,M.Schaub,QB,89,2013,7.5%,62.6,697,4008,22,12
174,C.Kaepernick,QB,70,2013,25.8%,76.8,555,1809,10,3
175,C.Newton,QB,89,2013,2.0%,54.2,422,3869,19,12
176,A.Smith,QB,83,2013,14.8%,70.1,418,,,
177,S.Bradford,QB,80,2013,-0.8%,51.6,388,3702,21,13
178,J.Flacco,QB,88,2013,-1.3%,46.8,358,3817,22,10
179,C.Palmer,QB,84,2013,-2.2%,44.7,340,4018,22,14
180,A.Luck,QB,84,2013,-5.1%,65.0,257,4374,23,18
181,A.Dalton,QB,83,2013,-5.9%,50.7,194,3669,27,16
182,C.Ponder,QB,75,2013,-6.1%,53.8,173,2935,18,12
183,P.Rivers,QB,92,2013,-7.3%,40.6,138,3607,26,15
184,R.Fitzpatrick,QB,82,2013,-7.6%,45.8,120,3400,24,16
185,J.Freeman,QB,82,2013,-8.0%,53.1,118,4065,27,17
186,R.Tannehill,QB,74,2013,-9.9%,52.3,39,3294,12,13
187,M.Hasselbeck,QB,85,2013,-11.5%,48.5,-6,1361,7,5
188,M.Vick,QB,89,2013,-14.4%,46.0,-78,2362,12,10
189,J.Cutler,QB,87,2013,-13.8%,51.9,-81,3033,19,14
190,K.Kolb,QB,75,2013,-23.1%,38.0,-154,1169,8,3
191,N.Foles,QB,65,2013,-20.4%,45.3,-166,1701,6,5
192,J.Locker,QB,75,2013,-23.6%,48.1,-265,2176,10,11
193,B.Gabbert,QB,74,2013,-25.3%,40.9,-268,1662,9,6
194,B.Weeden,QB,74,2013,-19.4%,26.6,-291,3385,14,17
195,M.Cassel,QB,80,2013,-30.4%,36.5,-353,1796,6,12
196,B.Quinn,QB,72,2013,-43.8%,27.4,-440,1141,2,8
197,M.Sanchez,QB,80,2013,-29.4%,23.4,-593,2844,13,18
198,P.Manning,QB,97,2014,43.2%,679,"2,475",5477,55,10
199,P.Rivers,QB,84,2014,34.8%,575,"1,799",4478,32,11
200,D.Brees,QB,96,2014,26.9%,687,"1,701",5139,39,12
201,M.Ryan,QB,94,2014,13.3%,695,"1,124",4515,26,17
202,N.Foles,QB,75,2014,35.6%,347,"1,011",2891,27,2
203,T.Brady,QB,97,2014,10.9%,665,979,4338,25,11
204,T.Romo,QB,88,2014,11.5%,572,839,3840,31,10
205,C.Kaepernick,QB,89,2014,16.6%,456,791,3197,21,8
206,R.Wilson,QB,89,2014,15.6%,453,770,3357,26,9
207,A.Rodgers,QB,98,2014,25.4%,310,740,2536,17,6
208,B.Roethlisberger,QB,92,2014,6.6%,621,724,4147,28,14
209,M.Stafford,QB,85,2014,4.9%,658,690,4647,29,19
210,A.Luck,QB,88,2014,4.6%,606,650,3830,23,9
211,C.Palmer,QB,84,2014,2.7%,614,547,4274,24,22
212,A.Dalton,QB,84,2014,2.3%,615,541,4296,33,20
213,C.Newton,QB,89,2014,1.7%,513,421,3379,24,13
214,J.Cutler,QB,86,2014,5.5%,371,392,2619,19,12
215,S.Bradford,QB,85,2014,5.2%,277,304,1687,14,4
216,A.Smith,QB,87,2014,-3.7%,545,262,,,
217,R.Fitzpatrick,QB,76,2014,-3.6%,369,179,2454,14,12
218,M.Glennon,QB,66,2014,-7.7%,459,99,2608,19,9
219,M.Cassel,QB,76,2014,-5.9%,271,92,1807,11,9
220,J.Locker,QB,77,2014,-5.7%,199,69,1256,8,4
221,R.Tannehill,QB,81,2014,-9.8%,643,54,3873,23,17
222,M.Vick,QB,81,2014,-6.9%,157,40,1216,5,3
223,B.Hoyer,QB,71,2014,-10.4%,103,5,615,5,3
224,J.Campbell,QB,75,2014,-12.2%,332,-24,2015,11,7
225,C.Ponder,QB,78,2014,-13.5%,267,-42,1648,7,9
226,R.Griffin,QB,89,2014,-13.1%,495,-60,0,0,0
227,C.Henne,QB,74,2014,-13.9%,541,-94,3241,13,14
228,M.Schaub,QB,87,2014,-16.2%,380,-123,2310,10,14
229,C.Keenum,QB,65,2014,-22.4%,270,-191,1760,9,6
230,J.Flacco,QB,93,2014,-18.1%,661,-296,3912,19,22
231,E.Manning,QB,91,2014,-20.2%,590,-335,3818,18,27
232,G.Smith,QB,73,2014,-23.6%,485,-371,3046,12,21
233,T.Pryor,QB,70,2014,-31.6%,304,-388,1801,7,11
234,B.Weeden,QB,76,2014,-36.1%,293,-443,1731,9,9
235,P.Rivers,QB,92,2015,36.0%,84.8,506,396,2,1
236,M.Ryan,QB,87,2015,24.3%,70.6,454,679,4,3
237,A.Luck,QB,88,2015,18.3%,76.5,443,370,2,2
238,P.Manning,QB,98,2015,31.5%,84.7,439,354,4,0
239,A.Rodgers,QB,98,2015,23.7%,83.4,374,259,1,1
240,J.Flacco,QB,86,2015,12.4%,64.4,311,511,3,1
241,D.Brees,QB,96,2015,7.3%,64.2,269,570,3,2
242,B.Hoyer,QB,79,2015,17.2%,72.2,249,434,2,0
243,T.Romo,QB,91,2015,9.1%,80.4,231,457,2,3
244,A.Dalton,QB,85,2015,20.8%,57.5,228,553,2,0
245,B.Roethlisberger,QB,90,2015,4.9%,62.7,192,582,1,2
246,A.Smith,QB,89,2015,4.6%,50.4,177,,,
247,J.Cutler,QB,86,2015,1.7%,67.2,171,349,2,2
248,E.Manning,QB,81,2015,1.8%,81.0,164,440,3,4
249,M.Stafford,QB,87,2015,1.8%,69.6,156,637,3,1
250,R.Wilson,QB,93,2015,8.1%,54.2,154,253,2,0
251,N.Foles,QB,88,2015,-0.4%,63.9,141,322,2,1
252,C.Newton,QB,89,2015,4.0%,55.1,131,281,1,0
253,C.Kaepernick,QB,89,2015,0.0%,57.2,116,201,2,0
254,M.Glennon,QB,79,2015,2.5%,72.7,76,,,
